,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,X,LAT,LON,idx,NBR_LIST,NBR_COUNT,NBR_MATCH,latcut,loncut,Bin,CALL_LIST,BLIGHT_LIST,CRIME_LIST
0,0,298829,298829,298831,42.3713970805,-83.1928312844,298831,[],0,False,7.0,3.0,73,[],[],[]
1,1,96761,96761,96761,42.4130728026,-83.0448642362,96761,[],0,False,9.0,7.0,97,[],[],['BURGLARY']
2,2,248530,248530,248531,42.4294658205,-83.0958576063,248531,[6097],1,True,9.0,6.0,96,[],[],[]
3,3,350217,350217,350219,42.3655166468,-83.243864152,350219,[],0,False,6.0,2.0,62,[],[],[]
4,4,169045,169045,169046,42.3779575599,-83.1876138001,169046,[],0,False,7.0,3.0,73,[],[],[]
5,5,253258,253258,253259,42.3771188638,-83.0043557834,253259,[6607],1,True,6.0,8.0,68,[],[],[]
6,6,228595,228595,228596,42.4123709104,-83.1310754818,228596,[],0,False,9.0,5.0,95,[],[],[]
7,7,47677,47677,47676,42.3353586265,-83.1516108633,47676,[3454],1,True,4.0,4.0,44,[],"['Excessive weeds or plant growth one- or two-family dwelling or commercial Building', 'Open Storage/ Residential/ Inoperable Vehicles (R1)', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property']",[]
8,8,698,698,697,42.4364138225,-83.111342066,697,"[3072, 3698]",2,True,,5.0,NA5,[],[],['DAMAGE TO PROPERTY']
9,9,149059,149059,149059,42.3187876314,-83.1087669428,149059,[5201],1,True,3.0,5.0,35,[],[],['TRAFFIC VIOLATIONS-MOTORCYCLE VIOLATIONS']
10,10,84818,84818,84818,42.4298152253,-83.0231368314,84818,[1620],1,True,9.0,8.0,98,[],[],[]
11,11,151005,151005,151005,42.3864859642,-83.119912988,151005,[],0,False,7.0,5.0,75,[],[],[]
12,12,62689,62689,62689,42.3320861097,-83.123926924,62689,[6733],1,True,4.0,5.0,45,[],"['Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property', 'Failure of owner to keep property, its sidewalks, or adjoining public property free from solid waste', 'Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance', 'Failure to obtain certificate of registration for rental property']",[]
13,13,292081,292081,292083,42.3891843442,-83.0196082658,292083,[],0,False,7.0,8.0,78,[],[],[]
14,14,139257,139257,139257,42.3775434946,-83.126764461,139257,[1529],1,True,6.0,5.0,65,[],"['Failure of owner to obtain certificate of compliance', 'Failure of owner to obtain certificate of compliance']",[]
15,15,357952,357952,357954,42.4090910214,-83.2156627325,357954,[],0,False,8.0,2.0,82,[],[],['LARCENY']
16,16,360658,360658,360660,42.4378307444,-83.0553307442,360660,[],0,False,,7.0,NA7,[],[],[]
17,17,99986,99986,99986,42.4195813188,-82.9566277628,99986,[],0,False,9.0,9.0,99,[],[],[]
18,18,177985,177985,177986,42.2921652083,-83.1166863984,177986,[4622],1,True,1.0,5.0,15,[],[],[]
